date,created,updated
2016-01,0,0
2016-02,0,0
2016-03,0,0
2016-04,0,0
2016-05,0,0
2016-06,19,18
2016-07,0,1
2016-08,0,0
2016-09,0,0
2016-10,0,0
2016-11,0,0
2016-12,0,0
2017-01,3,3
2017-02,2,1
2017-03,1,1
2017-04,1,1
2017-05,3,3
2017-06,3,2
2017-07,1,1
2017-08,0,0
2017-09,1,2
2017-10,1,1
2017-11,3,2
2017-12,0,0
2018-01,1,0
2018-02,1,1
2018-03,2,2
2018-04,0,0
2018-05,4,3
2018-06,0,1
2018-07,2,2
2018-08,7,4
2018-09,6,3
2018-10,6,6
2018-11,1,2
2018-12,4,4
2019-01,4,3
2019-02,4,4
2019-03,3,4
2019-04,6,7
2019-05,2,1
2019-06,0,0
2019-07,3,5
2019-08,3,3
2019-09,5,6
2019-10,8,7
2019-11,14,16
2019-12,5,5
2020-01,10,10
2020-02,4,2
2020-03,10,13
2020-04,5,5
2020-05,1,1
2020-06,28,28
2020-07,66,68
2020-08,7,7
2020-09,9,10
2020-10,142,132
2020-11,14,13
2020-12,18,18
2021-01,28,34
2021-02,28,29
2021-03,33,35
2021-04,66,67
2021-05,9,10
