date,insertions,deletions,number_of_commits,files,lines
2016-01,14453,364,19,351,14817
2016-02,1881,235,14,134,2116
2016-03,54176,6822,86,869,60998
2016-04,26170,32079,145,929,58249
2016-05,220558,165149,251,5458,385707
2016-06,1060482,402381,307,7036,1462863
2016-07,306002,82022,100,2582,388024
2016-08,219536,367336,94,4976,586872
2016-09,20078,24848,46,1058,44926
2016-10,39374,20721,115,1723,60095
2016-11,329218,254477,136,3969,583695
2016-12,125472,11435,182,1774,136907
2017-01,207647,6855,206,1684,214502
2017-02,37616,93564,167,2373,131180
2017-03,43374,7654,239,1741,51028
2017-04,40306,8993,360,2033,49299
2017-05,33467,6630,186,1625,40097
2017-06,28705,8305,127,993,37010
2017-07,16532,8519,145,1038,25051
2017-08,133617,18568,164,3425,152185
2017-09,18525,3232,90,800,21757
2017-10,117657,76171,121,4260,193828
2017-11,49435,9155,323,2800,58590
2017-12,152326,27338,277,3792,179664
2018-01,161563,11902,331,3202,173465
2018-02,72286,4169,166,2364,76455
2018-03,961423,6725,154,8122,968148
2018-04,36034,6876,180,1254,42910
2018-05,79294,10526,252,2265,89820
2018-06,272786,17979,315,3849,290765
2018-07,1345702,167356,299,11049,1513058
2018-08,1051074,43006,302,8909,1094080
2018-09,802481,782335,338,12166,1584816
2018-10,597323,107652,367,5623,704975
2018-11,72108,13382,369,2982,85490
2018-12,64206,5928,375,2220,70134
2019-01,56659,11550,266,2775,68209
2019-02,26592,3290,177,1096,29882
2019-03,133396,10377,259,3893,143773
2019-04,210407,116489,452,5412,326896
2019-05,118145,19014,366,2628,137159
2019-06,66776,14660,422,2958,81436
2019-07,57815,10605,346,2412,68420
2019-08,3155302,10686,492,4513,3165988
2019-09,63413,15187,262,1831,78600
2019-10,80040,6343,380,2228,86383
2019-11,237486,6571,276,1986,244057
2019-12,200545,2296,213,3699,202841
2020-01,597915,7467,224,3574,605382
2020-02,110539,28125,209,3413,138664
2020-03,90865,64631,261,3247,155496
2020-04,779236,329797,339,12320,1109033
2020-05,85638,26487,329,2647,112125
2020-06,40536,52127,298,1592,92663
2020-07,71239,31931,310,5208,103170
2020-08,25723,60636,175,1648,86359
2020-09,35804,13086,237,1925,48890
2020-10,214741,13876,123,3430,228617
2020-11,75307,56668,210,3200,131975
2020-12,23156,6997,171,1540,30153
2021-01,30549,3482,134,2019,34031
2021-02,10281,4747,133,1139,15028
2021-03,13794,6032,119,850,19826
2021-04,46132,4172,192,1669,50304
2021-05,1927,54,22,80,1981
